id,name,r,g,b
1,6b,138,218,135
2,A13,242,72,59
3,AAA,128,192,226
4,ACA,64,166,102
5,ACA1,64,166,102
6,ACA2/3,64,166,102
7,ACA5,64,166,102
8,ACA6a,64,166,102
9,ACA6b,64,166,102
10,ACAd,64,166,102
11,ACAd1,64,166,102
12,ACAd2/3,64,166,102
13,ACAd5,64,166,102
14,ACAd6a,64,166,102
15,ACAd6b,64,166,102
16,ACAv,64,166,102
17,ACAv1,64,166,102
18,ACAv2/3,64,166,102
19,ACAv5,64,166,102
20,ACAv6a,64,166,102
21,ACAv6b,64,166,102
22,ACB,128,205,248
23,ACVI,255,179,217
24,ACVII,255,179,217
25,AD,255,144,159
26,ADP,255,85,71
27,AHA,255,85,71
28,AHN,255,76,62
29,AHNa,255,76,62
30,AHNc,255,76,62
31,AHNd,255,76,62
32,AHNp,255,76,62
33,AI,33,152,102
34,AId,33,152,102
35,AId1,33,152,102
36,AId2/3,33,152,102
37,AId5,33,152,102
38,AId6a,33,152,102
39,AId6b,33,152,102
40,AIp,33,152,102
41,AIp1,33,152,102
42,AIp2/3,33,152,102
43,AIp5,33,152,102
44,AIp6a,33,152,102
45,AIp6b,33,152,102
46,AIv,33,152,102
47,AIv1,33,152,102
48,AIv2/3,33,152,102
49,AIv5,33,152,102
50,AIv6a,33,152,102
51,AIv6b,33,152,102
52,AM,255,144,159
53,AMB,255,179,217
54,AMBd,255,179,217
55,AMBv,255,179,217
56,AMd,255,144,159
57,AMv,255,144,159
58,AN,255,252,145
59,ANcr1,255,252,145
60,ANcr1gr,236,231,84
61,ANcr1mo,255,252,145
62,ANcr1pu,255,252,145
63,ANcr2,255,252,145
64,ANcr2gr,236,231,84
65,ANcr2mo,255,252,145
66,ANcr2pu,255,252,145
67,AOB,157,240,210
68,AOBgl,157,240,210
69,AOBgr,149,228,200
70,AOBmi,157,240,210
71,AON,84,191,148
72,AON1,84,191,148
73,AON2,84,191,148
74,AONd,84,191,148
75,AONe,84,191,148
76,AONl,84,191,148
77,AONm,84,191,148
78,AONpv,84,191,148
79,AP,255,165,210
80,APN,255,144,255
81,APr,51,185,50
82,AQ,170,170,170
83,ARH,255,93,80
84,ASO,255,93,80
85,AT,255,144,255
86,ATN,255,144,159
87,AUD,1,147,153
88,AUDd,1,147,153
89,AUDd1,1,147,153
90,AUDd2/3,1,147,153
91,AUDd4,1,147,153
92,AUDd5,1,147,153
93,AUDd6a,1,147,153
94,AUDd6b,1,147,153
95,AUDp,1,147,153
96,AUDp1,1,147,153
97,AUDp2/3,1,147,153
98,AUDp4,1,147,153
99,AUDp5,1,147,153
100,AUDp6a,1,147,153
101,AUDp6b,1,147,153
102,AUDpo,1,147,153
103,AUDpo1,1,147,153
104,AUDpo2/3,1,147,153
105,AUDpo4,1,147,153
106,AUDpo5,1,147,153
107,AUDpo6a,1,147,153
108,AUDpo6b,1,147,153
109,AUDv,1,147,153
110,AUDv1,1,147,153
111,AUDv2/3,1,147,153
112,AUDv4,1,147,153
113,AUDv5,1,147,153
114,AUDv6a,1,147,153
115,AUDv6b,1,147,153
116,AV,255,144,159
117,AVP,255,85,71
118,AVPV,255,85,71
119,Acs5,255,186,134
120,B,255,186,134
121,BA,128,192,226
122,BAC,179,192,223
123,BLA,157,231,156
124,BLAa,157,231,156
125,BLAp,157,231,156
126,BLAv,157,231,156
127,BMA,132,234,129
128,BMAa,132,234,129
129,BMAp,132,234,129
130,BS,255,112,128
131,BST,179,192,223
132,BSTa,179,192,223
133,BSTal,179,192,223
134,BSTam,179,192,223
135,BSTd,179,192,223
136,BSTdm,179,192,223
137,BSTfu,179,192,223
138,BSTif,179,192,223
139,BSTju,179,192,223
140,BSTmg,179,192,223
141,BSTov,179,192,223
142,BSTp,179,192,223
143,BSTpr,179,192,223
144,BSTrh,179,192,223
145,BSTse,179,192,223
146,BSTtr,179,192,223
147,BSTv,179,192,223
148,CA,126,208,75
149,CA1,126,208,75
150,CA1slm,126,208,75
151,CA1so,126,208,75
152,CA1sp,102,168,61
153,CA1sr,126,208,75
154,CA2,126,208,75
155,CA2slm,126,208,75
156,CA2so,126,208,75
157,CA2sp,102,168,61
158,CA2sr,126,208,75
159,CA3,126,208,75
160,CA3slm,126,208,75
161,CA3slu,126,208,75
162,CA3so,126,208,75
163,CA3sp,102,168,61
164,CA3sr,126,208,75
165,CB,240,240,128
166,CBN,240,240,128
167,CBX,240,240,128
168,CBXgr,236,231,84
169,CBXmo,255,252,145
170,CBXpu,255,252,145
171,CEA,128,192,226
172,CEAc,128,192,226
173,CEAl,128,192,226
174,CEAm,128,192,226
175,CENT,255,252,145
176,CENT2,255,252,145
177,CENT2gr,236,231,84
178,CENT2mo,255,252,145
179,CENT2pu,255,252,145
180,CENT3,255,252,145
181,CENT3gr,236,231,84
182,CENT3mo,255,252,145
183,CENT3pu,255,252,145
184,CH,176,240,255
185,CL,255,144,159
186,CLA,138,218,135
187,CLI,255,166,255
188,CM,255,144,159
189,CN,255,165,210
190,CNU,152,214,249
191,CNlam,255,165,210
192,CNspg,255,165,210
193,COA,97,231,183
194,COAa,97,231,183
195,COAa1,97,231,183
196,COAa2,97,231,183
197,COAa3,97,231,183
198,COAp,97,231,183
199,COApl,97,231,183
200,COApl1,97,231,183
201,COApl1-2,97,231,183
202,COApl1-3,97,231,183
203,COApl2,97,231,183
204,COApl3,97,231,183
205,COApm,97,231,183
206,COApm1,97,231,183
207,COApm1-2,97,231,183
208,COApm1-3,97,231,183
209,COApm2,97,231,183
210,COApm3,97,231,183
211,COPY,255,252,145
212,COPYgr,236,231,84
213,COPYmo,255,252,145
214,COPYpu,255,252,145
215,CP,152,214,249
216,CS,255,195,149
217,CSl,255,195,149
218,CSm,255,195,149
219,CTX,176,255,184
220,CTXpl,112,255,112
221,CTXsp,138,218,135
222,CU,255,165,210
223,CUL,255,252,145
224,CUL4,255,252,145
225,"CUL4, 5",255,252,145
226,"CUL4, 5gr",236,231,84
227,"CUL4, 5mo",255,252,145
228,"CUL4, 5pu",255,252,145
229,CUL4gr,236,231,84
230,CUL4mo,255,252,145
231,CUL4pu,255,252,145
232,CUL5,255,252,145
233,CUL5gr,236,231,84
234,CUL5mo,255,252,145
235,CUL5pu,255,252,145
236,CUN,255,144,255
237,DCN,255,165,210
238,DCO,255,165,210
239,DEC,255,252,145
240,DECgr,236,231,84
241,DECmo,255,252,145
242,DECpu,255,252,145
243,DG,126,208,75
244,DG-mo,126,208,75
245,DG-po,126,208,75
246,DG-sg,102,168,61
247,DG-sgz,126,208,75
248,DGcr,126,208,75
249,DGcr-mo,126,208,75
250,DGcr-po,126,208,75
251,DGcr-sg,126,208,75
252,DGlb,126,208,75
253,DGlb-mo,126,208,75
254,DGlb-po,126,208,75
255,DGlb-sg,126,208,75
256,DGmb,126,208,75
257,DGmb-mo,126,208,75
258,DGmb-po,126,208,75
259,DGmb-sg,126,208,75
260,DMH,255,85,71
261,DMHa,255,85,71
262,DMHp,255,85,71
263,DMHv,255,85,71
264,DMX,255,179,217
265,DN,255,253,188
266,DORpm,255,144,159
267,DORsm,255,128,132
268,DP,164,218,164
269,DP1,164,218,164
270,DP2,164,218,164
271,DP2/3,164,218,164
272,DP5,164,218,164
273,DP6a,164,218,164
274,DR,255,166,255
275,DT,255,144,255
276,DTN,255,186,134
277,ECO,255,179,217
278,ECT,13,159,145
279,ECT1,13,159,145
280,ECT2/3,13,159,145
281,ECT5,13,159,145
282,ECT6a,13,159,145
283,ECT6b,13,159,145
284,ECU,255,165,210
285,ENT,50,184,37
286,ENTl,50,184,37
287,ENTl1,50,184,37
288,ENTl2,50,184,37
289,ENTl2/3,50,184,37
290,ENTl2a,50,184,37
291,ENTl2b,50,184,37
292,ENTl3,50,184,37
293,ENTl4,50,184,37
294,ENTl4/5,50,184,37
295,ENTl5,50,184,37
296,ENTl5/6,50,184,37
297,ENTl6a,50,184,37
298,ENTl6b,50,184,37
299,ENTm,50,184,37
300,ENTm1,50,184,37
